ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002837.SZ,20260710,74.87,78.5,73.38,73.54,75.87,-2.33,-3.071,720017.43,5495359.75962
002837.SZ,20260709,73.44,76.55,68.24,75.87,72.12,3.75,5.1997,745033.08,5418373.28549
002837.SZ,20260708,72.0,74.79,70.5,72.12,71.29,0.83,1.1643,544176.92,3973570.31867
002837.SZ,20260707,72.0,76.88,71.05,71.29,74.06,-2.77,-3.7402,505100.61,3705214.63615
002837.SZ,20260706,71.01,76.99,71.0,74.06,71.43,2.63,3.6819,651907.01,4875197.94998
002837.SZ,20260703,71.38,74.41,70.5,71.43,71.4,0.03,0.042,432839.93,3140725.05972
002837.SZ,20260702,72.0,75.27,69.8,71.4,74.73,-3.33,-4.456,524777.75,3790190.46851
002837.SZ,20260701,79.56,80.49,74.0,74.73,79.56,-4.83,-6.0709,633252.98,4855278.02945
002837.SZ,20260630,75.68,80.68,74.49,79.56,76.7,2.86,3.7288,605399.15,4755326.36242
002837.SZ,20260629,80.91,82.82,75.2,76.7,82.57,-5.87,-7.1091,712064.25,5567001.86748
002837.SZ,20260626,84.39,85.58,81.0,82.57,86.99,-4.42,-5.081,760725.68,6335171.40475
002837.SZ,20260625,85.0,89.69,84.1,86.99,82.86,4.13,4.9843,1030943.32,8944337.13591
002837.SZ,20260624,79.0,83.56,76.88,82.86,81.48,1.38,1.6937,1052506.74,8531163.92009
002837.SZ,20260623,85.03,85.03,79.0,81.48,77.3,4.18,5.4075,1358565.97,11188878.3042
002837.SZ,20260622,74.55,77.5,72.8,77.3,74.37,2.93,3.9398,861948.13,6527271.97772
002837.SZ,20260618,75.03,76.13,73.54,74.37,74.62,-0.25,-0.335,553636.08,4124748.06364
002837.SZ,20260617,72.0,75.48,72.0,74.62,73.19,1.43,1.9538,562031.39,4162255.09975
002837.SZ,20260616,70.56,75.14,70.41,73.19,70.53,2.66,3.7714,706865.05,5180308.88013
002837.SZ,20260615,67.3,70.68,66.27,70.53,66.08,4.45,6.7343,541686.28,3748836.69568
002837.SZ,20260612,68.5,70.0,66.08,66.08,67.14,-1.06,-1.5788,597179.07,4102450.24615
002837.SZ,20260611,68.9,69.5,66.21,67.14,68.9,-1.76,-2.5544,386018.92,2597139.3508
002837.SZ,20260610,70.88,72.69,68.25,68.9,69.72,-0.82,-1.1761,715816.1,5059960.53323
002837.SZ,20260609,64.0,69.72,63.55,69.72,63.38,6.34,10.0032,678231.92,4600037.50294
002837.SZ,20260608,62.4,65.8,62.2,63.38,65.9,-2.52,-3.824,402508.8,2571262.498
002837.SZ,20260605,68.6,68.6,65.58,65.9,69.22,-3.32,-4.7963,468849.88,3137961.31
002837.SZ,20260604,67.49,69.89,67.18,69.22,68.32,0.9,1.3173,475320.52,3274875.733
002837.SZ,20260603,67.5,70.92,67.28,68.32,67.49,0.83,1.2298,652870.85,4494953.456
002837.SZ,20260602,66.3,68.0,64.4,67.49,66.06,1.43,2.1647,514808.91,3423665.588
002837.SZ,20260601,68.51,70.59,65.66,66.06,69.87,-3.81,-5.453,653409.55,4426359.014
002837.SZ,20260529,97.52,97.77,88.02,91.0,97.52,-6.52,-6.6858,647704.54,5912464.089
002837.SZ,20260528,95.02,97.78,93.5,97.52,95.02,2.5,2.631,406566.48,3892195.359
002837.SZ,20260527,97.5,99.34,94.11,95.02,98.57,-3.55,-3.6015,475453.66,4588065.885
002837.SZ,20260526,106.0,106.0,96.35,98.57,106.1,-7.53,-7.0971,796747.49,7898005.628
002837.SZ,20260525,106.33,106.33,103.0,106.1,104.94,1.16,1.1054,411091.01,4305803.633
002837.SZ,20260522,102.44,106.35,100.77,104.94,100.53,4.41,4.3868,401763.19,4161824.521
002837.SZ,20260521,108.4,109.45,100.33,100.53,108.41,-7.88,-7.2687,670459.47,7085719.86
002837.SZ,20260520,101.0,110.48,99.0,108.41,102.4,6.01,5.8691,705893.6,7473100.966
002837.SZ,20260519,101.01,103.46,97.0,102.4,102.12,0.28,0.2742,475088.42,4754315.36
002837.SZ,20260518,100.51,104.86,99.11,102.12,100.49,1.63,1.6221,400614.39,4081709.103
002837.SZ,20260515,104.0,105.0,99.63,100.49,102.2,-1.71,-1.6732,436866.27,4454610.604
002837.SZ,20260514,108.9,111.29,102.19,102.2,106.38,-4.18,-3.9293,540479.89,5707114.646
002837.SZ,20260513,99.0,107.2,97.8,106.38,99.99,6.39,6.3906,693244.81,7214498.402
002837.SZ,20260512,102.16,102.6,99.58,99.99,102.16,-2.17,-2.1241,443210.54,4449667.947
002837.SZ,20260511,102.4,103.0,97.29,102.16,102.28,-0.12,-0.1173,599578.65,6020696.208
002837.SZ,20260508,101.0,104.32,99.01,102.28,102.53,-0.25,-0.2438,445572.74,4566607.22
002837.SZ,20260507,98.5,103.5,97.01,102.53,97.77,4.76,4.8686,587314.78,5934172.036
002837.SZ,20260506,96.03,100.4,95.8,97.77,94.6,3.17,3.351,509089.74,5003722.385
002837.SZ,20260430,95.02,96.38,93.06,94.6,94.5,0.1,0.1058,292122.87,2759327.637
002837.SZ,20260429,92.27,95.8,92.27,94.5,92.84,1.66,1.788,297154.48,2811636.703
002837.SZ,20260428,95.8,96.99,92.16,92.84,96.0,-3.16,-3.2917,349188.39,3275130.393
002837.SZ,20260427,94.21,97.94,94.16,96.0,95.21,0.79,0.8297,431158.16,4161043.977
002837.SZ,20260424,99.14,99.97,94.0,95.21,100.68,-5.47,-5.4331,690246.22,6601387.672
002837.SZ,20260423,100.0,103.0,99.29,100.68,104.2,-3.52,-3.3781,935119.75,9431084.42
002837.SZ,20260422,98.07,108.97,98.07,104.2,108.97,-4.77,-4.3774,1594477.42,16119273.349
002837.SZ,20260421,108.97,108.97,108.97,108.97,121.08,-12.11,-10.0017,59793.0,651564.321
002837.SZ,20260420,113.2,121.74,111.68,121.08,110.67,10.41,9.4063,847986.84,10129168.977
002837.SZ,20260417,105.68,112.63,104.41,110.67,106.18,4.49,4.2287,575430.19,6284630.522
002837.SZ,20260416,106.9,106.91,104.2,106.18,105.31,0.87,0.8261,366240.06,3863268.463
002837.SZ,20260415,110.01,110.09,104.36,105.31,109.79,-4.48,-4.0805,590692.21,6308291.479
002837.SZ,20260414,103.16,111.7,101.51,109.79,102.86,6.93,6.7373,657687.73,7079036.226
002837.SZ,20260413,99.06,103.3,99.05,102.86,99.05,3.81,3.8465,610062.95,6226863.424
002837.SZ,20260410,94.95,102.4,94.65,99.05,93.09,5.96,6.4024,759554.3,7546417.862
002837.SZ,20260409,90.0,94.88,89.51,93.09,91.5,1.59,1.7377,421797.43,3923600.842
002837.SZ,20260408,88.88,91.77,87.95,91.5,84.84,6.66,7.8501,443834.53,3987109.411
002837.SZ,20260407,84.01,86.35,83.71,84.84,83.63,1.21,1.4468,263603.78,2250238.557
002837.SZ,20260403,84.01,85.49,82.8,83.63,82.77,0.86,1.039,281810.21,2369641.162
002837.SZ,20260402,86.08,86.63,82.5,82.77,87.18,-4.41,-5.0585,340066.87,2852007.807
002837.SZ,20260401,86.9,87.4,85.31,87.18,84.35,2.83,3.3551,343814.43,2974977.051
002837.SZ,20260331,88.89,89.5,83.8,84.35,89.77,-5.42,-6.0377,518032.64,4449883.619
002837.SZ,20260330,90.0,90.83,88.01,89.77,93.13,-3.36,-3.6079,368093.33,3293097.405
002837.SZ,20260327,93.0,94.29,90.88,93.13,95.51,-2.38,-2.4919,402132.68,3710678.411
002837.SZ,20260326,97.52,97.65,95.07,95.51,98.5,-2.99,-3.0355,281134.25,2706548.598
002837.SZ,20260325,99.51,101.2,98.0,98.5,98.4,0.1,0.1016,323762.75,3225104.187
002837.SZ,20260324,99.0,99.5,95.5,98.4,98.0,0.4,0.4082,283828.39,2762210.378
002837.SZ,20260323,100.66,102.4,97.6,98.0,105.0,-7.0,-6.6667,437378.77,4333128.623
002837.SZ,20260320,105.0,108.46,103.0,105.0,104.07,0.93,0.8936,496952.61,5276363.355
